user,followers_count,friends_count,retweet_count,favorite_count,text
frankiesanjana,531,716,0,0,"@JenniferMaslin Apparently this suggestion may have been more plausible than we thought 

https://t.co/QXCPj9yWaM"
ashontweeter,397,796,0,1,"@pnvijay Yes, I am not denying their economic might, I agree with that, but I was talking about Vaccine data, I fee… https://t.co/ael1oh9Fd4"
NeilJamesWeekes,5786,5248,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
Baakfanmouyan,2187,457,0,5,"Clearest, most convincing explanation yet of vaccine hesitancy in Hong Kong https://t.co/q95I9NwMV5"
jelmod1,244,1844,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
zibrailmohamma3,1341,799,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
YukiLee8888,518,148,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
scheerenberger,3035,4999,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
ajnd525,79,1007,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
glitchbotio,1188,342,8,0,"RT @Quicktake: “We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong restaurants…"
Quicktake,1253818,1483,8,15,"“We don't police people. We entertain.”

Less than a month into the launch of a “vaccine bubble,” some Hong Kong re… https://t.co/yFKVPc9hCd"
NineDragons2,389,143,0,0,"Vaccine progress:
Looking at the progress in the countries with the most known #COVID19 cases, plus Hong Kong &amp; Chi… https://t.co/8OKCjvG5lV"
30minly,1435,260,0,0,The fact that Sinagapore are Hong Kong haven’t been able to secure 10-20 million does of vaccine is shocking. Paint… https://t.co/qljT6NxTkk
SeaHedger,105,81,0,0,"Hong Kong to start offering on-site vaccinations at corporations.
#HongKong #vaccine"
parker_shona,327,890,0,0,Hey @ScottMorrisonMP @GladysB @Qantas  This is a good idea out of Hong Kong. #vaccine #australiantravel https://t.co/cjNwB1gyyM
b3108,1017,1283,0,0,"'If Hong Kong authorities are to achieve their goal of vaccinating 70 percent of the population by the end of 2021,… https://t.co/m8oUYmktDn"
AlbertBeardow,40,533,0,3,@Noahpinion @zeynep Alternative concern: for APAC countries there is no safe re-opening without close to 100% of vu… https://t.co/RoEYtC4TH5
Researchnewscc,25,75,0,0,Hong Kong researchers find early COVID-19 mutant strain with characteristics of attenuated vaccine #HongKong… https://t.co/1pXuN8rLf4
sheldon70544702,270,1315,30,0,RT @BillyBostickson: Hong Kong researchers find early COVID-19 mutant strain with characteristics of attenuated vaccine https://t.co/8l3QA3…
Phapha565532882,0,0,0,0,@CNN IN ASIA WE HAVE MANY PEOPLE ARE RELUCTANT TO TAKE THE VACCINE ESPECIALLY IN HONG KONG WHERE NOT MANY PEOPLE WANT TO TAKE IT
lilyJoyfull,460,434,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
7thSpaceCom,3465,801,0,0,News: Hong Kong: 1.98m vaccine doses given - https://t.co/uClZ75q8s4
SimpGanassi,1739,1508,0,1,"@shreyagnanda @the_thirdway Good theory, I can well believe that. A lot of vaccine politics seems to be proxying fo… https://t.co/urkC5A7MSC"
tweet4852,502,2388,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
CyberPunkCortes,1104,185,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
NRxPenguin,632,174,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
Schismocracy,1384,761,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
MDYankeefan1,3175,4128,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
JohnBeaudoinSr,505,50,0,0,@SteveRDaugh Except that these 1K can mostly be predicted and prevented if they only looked at the obvious. Like me… https://t.co/HJXaae2Mdf
Golden_Seagul,1327,313,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
RichardEStark,1872,4985,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
EvolveQuickly,3771,3605,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
StriebRoman,332,326,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
DilliDurAst,126519,3533,13,0,"RT @johnrobb: “I won’t take the vaccine, because my friends and I just don’t want to follow any instructions or recommendations from the go…"
