index,Participant No.,Scene No.,Text Cond.,Audio Cond.,ROI category,Saccade Count,Total Saccade Distance,Average Saccade Distance,Total Saccade Duration,Average Saccade Duration
87,exp_14,Scene6,On,On,Text,99,22.13344507697352,0.2235701522926618,21.5,0.21717171717171718
88,exp_14,Scene7,Off,Off,Culturual  Heritage,198,40.20341264475333,0.2030475386098653,53.17999999999997,0.26858585858585843
89,exp_14,Scene7,Off,Off,Nature,6,0.6647463529241439,0.11079105882069064,6.999999999999993,1.1666666666666654
90,exp_14,Scene7,Off,Off,Others,14,2.931581595201861,0.2093986853715615,7.619999999999996,0.5442857142857139
91,exp_14,Scene7,Off,Off,Tamed nature,4,0.9976760409777435,0.24941901024443588,1.3200000000000003,0.33000000000000007
92,exp_14,Scene8,Off,On,Others,118,35.61680124760274,0.3018372987084978,62.64000000000005,0.530847457627119
93,exp_14,Scene8,Off,On,Tamed nature,3,2.6055457748055524,0.8685152582685175,6.880000000000006,2.2933333333333352
94,exp_14,Scene8,Off,On,Urban,11,5.06814593729882,0.4607405397544382,7.319999999999995,0.665454545454545
95,exp_15,Scene1,Off,Off,Culturual  Heritage,204,41.63260624864443,0.20408140317962956,52.459999999999944,0.25715686274509775
96,exp_15,Scene1,Off,Off,Tamed nature,1,0.4902972975654669,0.4902972975654669,1.0399999999999991,1.0399999999999991
97,exp_15,Scene1,Off,Off,Urban,9,1.069219985047791,0.11880222056086567,2.20000000000001,0.24444444444444555
98,exp_15,Scene2,Off,On,Culturual  Heritage,155,20.957462953372186,0.1352094384088528,28.320000000000014,0.18270967741935493
99,exp_15,Scene2,Off,On,Nature,2,0.6997180982878874,0.3498590491439437,1.0999999999999943,0.5499999999999972
100,exp_15,Scene2,Off,On,Tamed nature,135,20.32486705109322,0.15055457074883868,28.159999999999986,0.2085925925925925
101,exp_15,Scene3,On,Off,Culturual  Heritage,49,10.678349447718182,0.21792549893302413,13.159999999999979,0.26857142857142813
102,exp_15,Scene3,On,Off,Others,176,17.76004048193732,0.10090932092009841,24.020000000000028,0.1364772727272729
103,exp_15,Scene3,On,Off,Tamed nature,8,1.5206590714573842,0.19008238393217303,2.5799999999999983,0.3224999999999998
104,exp_15,Scene3,On,Off,Urban,75,5.2448823493308545,0.06993176465774473,7.799999999999942,0.10399999999999923
105,exp_15,Scene4,On,On,Culturual  Heritage,32,3.1086911724543005,0.09714659913919689,2.5600000000000165,0.08000000000000052
106,exp_15,Scene4,On,On,Others,15,3.6087274135186913,0.24058182756791274,3.0799999999999983,0.20533333333333323
107,exp_15,Scene4,On,On,Tamed nature,80,10.009108784367141,0.12511385980458928,18.919999999999966,0.23649999999999957
108,exp_15,Scene4,On,On,Text,92,13.985723992957602,0.152018739053887,13.199999999999996,0.14347826086956517
109,exp_15,Scene4,On,On,Urban,40,7.54279792544742,0.1885699481361855,15.619999999999997,0.39049999999999996
