user,followers_count,friends_count,retweet_count,favorite_count,text
Yashfa30856271,23,41,5,0,RT @shahzainnpk: Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
shawnminormusic,11,218,0,0,"@JoeBiden The ""vaccine"" does not provide immunity. Therefore can not be called a vaccine. Tell the people the truth… https://t.co/zbza5L8wbw"
AqilArrif,299,738,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
azhraazhn,465,150,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
viniciusarnoni,70,234,274,0,"RT @charlesbrew: Are There Studies of Vaccine vs. Natural Immunity from Covid?

Yes, there is one that covers the entire population of Isra…"
To_Rumors,8855,1,0,1,"@No_Rumors Source(s):  مصادر

https://t.co/PF38TZePBB"
AnonymousBread2,414,494,3,0,RT @AnitaLea1: This was in Israel news. You don’t think it’s coming to a city near you? Can’t buy or sell without the vaccine? Does that so…
murphymercury,59,85,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
1samc,115,552,0,0,"@NEFootsteps @travelfish Unlike a lot of Asia, these countries had the time &amp; money to get vaccine prepared. Singap… https://t.co/rnToWXIbWv"
keiNN94142771,158,287,0,0,"Today @ https://t.co/P1cnP88UlS
#China #facemasks #COVID19 #vaccine #Israel #Pfizer #Fauci https://t.co/YyV08wWzUl"
tchaaban1,689,1533,35,0,RT @DrBryanLeyva: Imagine having the audacity to call Israel a “model” for COVID-19 vaccination when they have the greatest vaccine ethnic…
Jonathanburlei2,1886,2981,3,0,RT @AnitaLea1: This was in Israel news. You don’t think it’s coming to a city near you? Can’t buy or sell without the vaccine? Does that so…
ExitGloss,83,424,0,0,On ne sait pas de quelle vaccine de mouche se piqua Jean Castex lors de son adresse à l'AN sur la réponse d'Israël… https://t.co/h0keTTPQxg
ekaniveriyaa,67,963,32,0,"RT @UmarNaseerMV: On behalf of DNA, I call on the government to reject covid vaccine from Israel. Denying this right to Palestinians &amp; send…"
SohaibZakir4,2,9,5,0,RT @shahzainnpk: Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
fnssrh,13,89,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
Lolinysh,1052,883,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
portraitinflesh,4050,2121,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
SameeeTahir,9,95,5,0,RT @shahzainnpk: Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
Morris2906,912,429,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
52Fabienne,2510,2735,1,0,RT @lacavernemythe: @MKarma1000 @MartinFierro769 @DrGomi @DIVIZIO1 C'est à peu près le fonctionnement de cette ARNaque en général d'ailleur…
EMACare_Israel,18,89,0,0,"𝐏𝐟𝐢𝐳𝐞𝐫 𝐕𝐚𝐜𝐜𝐢𝐧𝐞 𝐂𝐚𝐧 𝐛𝐞 𝐊𝐞𝐩𝐭 𝐢𝐧 𝐑𝐞𝐟𝐫𝐢𝐠𝐞𝐫𝐚𝐭𝐢𝐨𝐧 𝐟𝐨𝐫 𝟏 𝐌𝐨𝐧𝐭𝐡
The European Medicines Agency announced that Pfizer’s vacci… https://t.co/RA10Q0B7kY"
DrJayanThiyagu,4506,3536,3,0,RT @Beahumane1st: 4th Pt of Manmohan's letter dated18/04 is explaining to allow more companies in Vaccine production. It also highlights th…
ShoaibR62422311,3,70,8,0,"RT @Zameerkararvi: #Gaza_Under_Attack 
#PalestineBleeding
#PalestineUnderAttack
#SavePalestine

Covid1948(israel)ka vaccine tayyar ho chuki…"
LuckyCharmMe,9,51,1,0,RT @LuckyCharmMe: @RegSprecher @RegBerlin @dil_kal @Stk_Brandenburg @AndreasBovensc1 @TschenPe @Senat_Hamburg @RegHessen @StM_Klose @Manuel…
Julie0921Julie,15,44,0,0,@imranahsanmirza @BBCWorld China made US look bad . China donated too much vaccines to poor countries when china al… https://t.co/W1vYdKgsk4
DominiqueElisa5,186,158,0,0,@NiusMarco Alors est-ce qu'on ne peut plus aller dans les commerces et travailler en Israël si on n'est pas vacciné  ?
vastequillier,18,118,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
esCapeII,44,242,12,0,RT @sitikasim: I like when I see the people who need antibodo vaccine appeared on my thread concerning Israel and Palestine conflict... wat…
AlmaTostmann,1060,187,0,0,"@fritsander @MarionKoopmans @YorickB Dus de ""vaccine effectiveness"" (=de werking in de praktijk; ofwel 'fase 4') ko… https://t.co/rMQQUr5c6Q"
AnasZia12298027,90,92,5,0,RT @shahzainnpk: Israel needs another dose of that vaccine  #SaveGazaFromZionists https://t.co/a4ZRuKxdFM
TarunAgarwalPro,1493,2773,0,0,"Soon they will say if you want vaccine go to China, Russia, US, Israel, UK https://t.co/OfjTSLGvDO"
DieEneRobin1,235,527,0,0,@lunaticoutpost @Tsumujikaze9 @BiGW53245525 @willem_engel Nou als ze daar al op 63% volledig gevaccineerd zitten vd… https://t.co/jHcCHqEdMF
A95Af74T3al,7,105,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
nshxmartin__,133,325,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
AldermanGeo,1173,314,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
MarikaSboros,17780,3224,0,0,Αλήθεια! #Israel #COVID19 #vaccine 👇👇👇 https://t.co/zwKolAovHf
Bazinga1867,34,261,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
aishisho,365,375,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
fafatinnajwawa,767,323,0,2,@kasihirisleona Maybe you can answer her by giving this article where even Israel blocked the vaccine to reach Pale… https://t.co/qU0yDRGTqx
vaccine_done,88,1247,235,0,"RT @BreakingTUBE: भारतीय मुसलमान इजरायल से सीखें देशभक्ति, भारत में रहकर उसी से गद्दारी करने वालों से तो कुत्ता बेहतर: BJP विधायक @surendra…"
shru777,422,968,0,0,"@Issaamro Stupidity is a catching disease, and Anti Israel Arabs are a major spreader. no vaccine and no cure avail… https://t.co/K5gO6aWM9O"
TCassa89,37,153,0,0,"@mlw1492 @JoeHarington2 @LJeanSK @JesseKellyDC Once again you're mistaken, the report from the UK is based on peopl… https://t.co/a1PqgOB04u"
MysteriosoX,3637,4991,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
lacavernemythe,804,82,1,2,@MKarma1000 @MartinFierro769 @DrGomi @DIVIZIO1 C'est à peu près le fonctionnement de cette ARNaque en général d'ail… https://t.co/rMtnd9XdW7
RabbiZvi,5363,5497,738,0,RT @eid_bassem: I am a Palestinian and I was vaccinated in #Israel. Groups like @jvplive and @BDSmovement are saying that Israel only vacci…
